,seeker_post,response_post,ER_level,EX_level,IP_level,indices_seeker,familiarity_seeker,goal_support_seeker,suddenness_seeker,social_norms_seeker,not_consider_seeker,chance_responsblt_seeker,self_responsblt_seeker,other_control_seeker,pleasantness_seeker,predict_conseq_seeker,accept_conseq_seeker,predict_event_seeker,urgency_seeker,other_responsblt_seeker,self_control_seeker,chance_control_seeker,standards_seeker,goal_relevance_seeker,attention_seeker,unpleasantness_seeker,indices_response,familiarity_response,goal_support_response,suddenness_response,social_norms_response,not_consider_response,chance_responsblt_response,self_responsblt_response,other_control_response,pleasantness_response,predict_conseq_response,accept_conseq_response,predict_event_response,urgency_response,other_responsblt_response,self_control_response,chance_control_response,standards_response,goal_relevance_response,attention_response,unpleasantness_response
0,Despair. I wish I had nobody in my life so I feel no remorse for the last stage of my life,"I know what you mean. When I was suicidal the pain I would cause my family was sometimes the only thing that held me back. I tried to think of them as living proof that Depression (personified for metaphor) was wrong about me. It told me nobody cares, nothing matters, if you died nothing would change. I showed it my mother and sister, and told it even if you see no value in me, others do. Basically, in my mind, I used my family as a logical check against the lies. Depression knows it is irrational; like a con man, it relies on persuasion rather than facts. But even when it takes over all of your other emotions, it can't take control of the emotions of others.",0,0,2,1,0.5879534482955933,0.29843732714653015,0.5508410930633545,0.2655324339866638,0.5228604674339294,0.44458529353141785,0.5918139815330505,0.48874038457870483,0.11149793863296509,0.6449810266494751,0.5326229929924011,0.5756502151489258,0.5798335075378418,0.4044293165206909,0.4858464300632477,0.3101481795310974,0.5181970000267029,0.5466492176055908,0.6795163154602051,0.7202796339988708,0,0.3759132921695709,0.15882016718387604,0.5875183343887329,0.4085393249988556,0.6066599488258362,0.274494469165802,0.32990598678588867,0.5654720664024353,0.14651189744472504,0.4220370948314667,0.47311681509017944,0.30569347739219666,0.6851901412010193,0.6681584715843201,0.3045390546321869,0.26042377948760986,0.5330579280853271,0.6481437683105469,0.7716273069381714,0.9752447605133057
1,"What are some things I can do to boost my confidence, motivation and happiness while in University?. Been feeling down in the gutter lately.","I did feel the same way as you, and some days I still do. Some things that I've done that seemed to work: Exercise, if Im exercising and going to the gym the consistency seems to flow to other parts of my life. Joining a club at uni, having friends keep me motivated in my studies. Also sort of having something to do outside of classes (I don't have a job). Make friends in your course, it helps to know you're not the only one in struggle town, and if you get stuck you can ask someone. Also think hard about why you're studying what you're studying, be in it for the right reasons. Keep in mind university isn't for everyone, and it isn't the only way to lead a fulfilling life. Also career changes are very common so since you're in your final year you can just stick it out and know that the future awaits. You're not locked into doing whatever your degree says you have to do. I think a lot of students are in the same boat, and good on you for making this post and trying to work out what you can do about it. Good luck!",1,0,2,1,0.4804839491844177,0.39967045187950134,0.4449322521686554,0.20923066139221191,0.4973504841327667,0.25754573941230774,0.6249727010726929,0.4962047040462494,0.3254801034927368,0.5618224740028381,0.5416665077209473,0.49312257766723633,0.47501668334007263,0.4738762080669403,0.4716261923313141,0.24939493834972382,0.43686643242836,0.5892583131790161,0.6420168876647949,0.514769971370697,0,0.45248857140541077,0.223085418343544,0.5596433281898499,0.3829764425754547,0.5039451718330383,0.20932351052761078,0.3501598536968231,0.6652920246124268,0.30540943145751953,0.3604917526245117,0.4838867485523224,0.2995539605617523,0.6659629344940186,0.5642071962356567,0.31849125027656555,0.08821134269237518,0.48455163836479187,0.6117759943008423,0.641004204750061,0.44649964570999146
2,"You know it’s going to be a good day when you just stand in the shower with your head down for half an hour. I even know what it is anymore, I just wish I awake",That was me this morning. I felt way alone but better now,0,0,2,1,0.6241053938865662,0.4647528827190399,0.6205084919929504,0.04488376900553703,0.49134111404418945,0.33682945370674133,0.6405581831932068,0.37338319420814514,0.314541757106781,0.42595338821411133,0.5191183090209961,0.4355087876319885,0.5558394193649292,0.2353273630142212,0.46726229786872864,0.2715787887573242,0.2794082462787628,0.39430540800094604,0.44831013679504395,0.4127787947654724,0,0.5877413153648376,0.45264187455177307,0.5119377970695496,-0.005671691615134478,0.4388967454433441,0.4057846665382385,0.638886570930481,0.3580918610095978,0.48819148540496826,0.5826011896133423,0.5575305223464966,0.6119557023048401,0.5603621006011963,0.3247579038143158,0.6005241274833679,0.37179532647132874,0.21567678451538086,0.5970812439918518,0.661766767501831,0.4240399897098541
3,What has helped your depression?. Is anyone cured or nearly recovered?,"Definitely not cured, but much better than my worst. I've found that forcing myself to do the things I used to love, even if it only holds my interest briefly, helps on bad days. I have also found music to be a great mood changer and excerise if I can force myself to do it.",0,0,2,1,0.46642956137657166,0.14839334785938263,0.6145830154418945,0.31801897287368774,0.5871837735176086,0.3723248541355133,0.4168685972690582,0.5911176204681396,0.23045951128005981,0.5911678671836853,0.46535205841064453,0.44313234090805054,0.5826358795166016,0.6339060068130493,0.3731445372104645,0.3028032183647156,0.5281298160552979,0.639882504940033,0.7559090852737427,0.6721355319023132,0,0.5995783805847168,0.41178202629089355,0.4188944399356842,0.20058567821979523,0.35995709896087646,0.2129925638437271,0.5817700624465942,0.5079682469367981,0.4922899305820465,0.49906125664711,0.551876962184906,0.48780640959739685,0.4938560724258423,0.5909924507141113,0.45195576548576355,0.22068020701408386,0.268770694732666,0.4574205279350281,0.6455152034759521,0.49810290336608887
4,"I am nobody's number one.. I don't mean for that to sound whiny or anything. It's not something I ever even thought about until now and I don't even know why I thought about it. I just went through a really tough break up and thought I was doing okay. Regular depression, which is something that I've dealt with for years so that general downness is my baseline. But this thought hit me like a freight train today and now I'm really, really struggling. I'm no one's 'person'. I'm no one's best friend. I have friends, I have best friends, I have people who consider me a best friend... but I'm not someone's person. And for some reason that really, really hurts.","I'm not even my fucking number one. I've tried and then depression steps in, raw physical pain.",0,0,2,1,0.45015135407447815,0.23052765429019928,0.547490119934082,0.32585564255714417,0.5565372705459595,0.24338562786579132,0.525101363658905,0.49214693903923035,0.21054570376873016,0.48588627576828003,0.5346571803092957,0.40549591183662415,0.639697790145874,0.4307645559310913,0.40242573618888855,0.21645261347293854,0.5300537347793579,0.6289495229721069,0.7368620038032532,0.7625026106834412,0,0.4752451777458191,0.20260898768901825,0.5927422642707825,0.2967284917831421,0.6240947246551514,0.3368174433708191,0.4900326430797577,0.4458165466785431,0.037876859307289124,0.5351204872131348,0.44859594106674194,0.52288818359375,0.5854756236076355,0.35947516560554504,0.3928646743297577,0.2898309826850891,0.42400139570236206,0.47743695974349976,0.6691265106201172,0.8578052520751953
5,"My breakdowns are mostly at night/before I'm planning to sleep. At daytime there are at least some things that keep me distracted, but at night, it's only me and my shitty thoughts. I can't remember the last time I fell asleep with a confident/happy feeling.","Same here. Alone in my room at night is the only time I can openly display what I feel all the time and hide from everyone. It's sad but freeing at the same time, y'know? For me, catharsis at its finest.",0,0,2,1,0.5451403856277466,0.2926178276538849,0.49397921562194824,0.1625877469778061,0.531049370765686,0.30532312393188477,0.49420827627182007,0.4689442813396454,0.17554990947246552,0.48170557618141174,0.5576242208480835,0.511910080909729,0.4744037091732025,0.42142102122306824,0.46746668219566345,0.2723735570907593,0.3652442991733551,0.37112957239151,0.6490674614906311,0.7092429995536804,0,0.529233992099762,0.2174197882413864,0.6105473637580872,0.21823669970035553,0.37913620471954346,0.2950970530509949,0.304314523935318,0.6054960489273071,0.2772744297981262,0.48135027289390564,0.5554181933403015,0.4645419120788574,0.5495221614837646,0.7322217226028442,0.34979531168937683,0.3565860092639923,0.33572450280189514,0.42419567704200745,0.6433686017990112,0.725683867931366
6,I wish i was dead.. Its nearly 12 midnight. Does anyone cares?,You are not alone. Just remember that.,1,0,0,1,0.4746339023113251,0.11894027143716812,0.6746379137039185,0.3987579345703125,0.5908249616622925,0.3503883481025696,0.31511345505714417,0.6254216432571411,0.21754863858222961,0.523758053779602,0.5054514408111572,0.39268261194229126,0.5413690209388733,0.731917142868042,0.32060813903808594,0.30921924114227295,0.5142456293106079,0.4938391447067261,0.6530301570892334,0.6809291243553162,0,0.5742852687835693,0.30274930596351624,0.3870697319507599,0.29646986722946167,0.512723445892334,0.3479289710521698,0.4241850674152374,0.6043338775634766,0.3668244183063507,0.6107062697410583,0.5272858738899231,0.5116576552391052,0.5196239948272705,0.6700320243835449,0.4850238859653473,0.273772656917572,0.5314237475395203,0.5356352925300598,0.6544808745384216,0.6353858709335327
7,"Has anybody here understood WHY they are depressed?. It is one question I can't answer. I am 24 now, and I have been depressed for about 10 years. I read a lot of explanations about depression. Some connect it to family, some to movement, some to capitalism. Has anybody found an answer for themselves?",I've been depressed since I turned 10. From what my therapist says it's not uncommon for the beginning of chronic depression to coincide with the begining of puberty. I think that's when it started for me.,0,0,2,1,0.4545847475528717,0.25020191073417664,0.6122116446495056,0.3681351840496063,0.4845190644264221,0.3026839792728424,0.3286420404911041,0.6474889516830444,0.328706830739975,0.513336718082428,0.42928239703178406,0.3291541039943695,0.49408426880836487,0.6659739017486572,0.3190115690231323,0.1942162960767746,0.472150057554245,0.5743943452835083,0.6581661701202393,0.5602286458015442,0,0.48507484793663025,0.25933638215065,0.47325029969215393,0.16946427524089813,0.5675292015075684,0.40625494718551636,0.36998555064201355,0.5349840521812439,0.2508152723312378,0.5140045285224915,0.5340330004692078,0.482082724571228,0.5137847661972046,0.5148818492889404,0.39483484625816345,0.356160432100296,0.3014834225177765,0.5762110948562622,0.7446657419204712,0.6830850839614868
8,What's the most embarrassing thing depression has caused you to do ?. So I don't feel like the only laughing stock .....,"telling people i love them when i really don't. I just really need closeness and when someone finally gets closer to me, i immediately feel like i'm in love even though we would never in a million years fit together",0,0,2,1,0.5403091311454773,0.16233445703983307,0.4272501766681671,0.297280490398407,0.5858352184295654,0.28358274698257446,0.4312150776386261,0.48153021931648254,0.11792533844709396,0.49225670099258423,0.46108344197273254,0.3926521837711334,0.5357633233070374,0.36334869265556335,0.4868594706058502,0.24105384945869446,0.5366067886352539,0.4352284371852875,0.4833059310913086,0.6014357209205627,0,0.42806684970855713,0.49018001556396484,0.6181715726852417,0.25527775287628174,0.458692342042923,0.3227425813674927,0.4651482105255127,0.5468611717224121,0.3979112505912781,0.41026562452316284,0.5418246388435364,0.2725282311439514,0.5203361511230469,0.5267382264137268,0.3652063310146332,0.2758735418319702,0.37972399592399597,0.6004776954650879,0.6065788269042969,0.5837414860725403
9,"Can't move. I don't want to expose myself to the outside world right now. They always ask me what I do. Right now, I'm not doing much. I feel extremely heavy. I can't move and I just want to die.","What seems to be weighing you down lately? If you need someone to talk to, I'm here. :)",1,2,0,1,0.5592516660690308,0.26785776019096375,0.4893680512905121,0.3491085469722748,0.5633774995803833,0.3648526668548584,0.5117010474205017,0.4689209759235382,0.0978650152683258,0.5052156448364258,0.5450792908668518,0.5430237650871277,0.5645609498023987,0.4806213676929474,0.4414885342121124,0.3051944375038147,0.513508677482605,0.5024207234382629,0.6700965166091919,0.8676904439926147,0,0.5518896579742432,0.28202176094055176,0.42509183287620544,0.25285816192626953,0.3842533826828003,0.28211691975593567,0.449913889169693,0.5896751880645752,0.4111481308937073,0.46572747826576233,0.5461676716804504,0.4238528609275818,0.49895861744880676,0.5693280100822449,0.4687332212924957,0.27040278911590576,0.36679527163505554,0.4761219024658203,0.5909122824668884,0.5052621364593506
