,seeker_post,response_post,ER_level,EX_level,IP_level,index,indices,seeker_post,familiarity_seeker,goal_support_seeker,suddenness_seeker,social_norms_seeker,not_consider_seeker,chance_responsblt_seeker,self_responsblt_seeker,other_control_seeker,pleasantness_seeker,predict_conseq_seeker,accept_conseq_seeker,predict_event_seeker,urgency_seeker,other_responsblt_seeker,self_control_seeker,chance_control_seeker,standards_seeker,goal_relevance_seeker,attention_seeker,unpleasantness_seeker,index,indices,response_post,familiarity_response,goal_support_response,suddenness_response,social_norms_response,not_consider_response,chance_responsblt_response,self_responsblt_response,other_control_response,pleasantness_response,predict_conseq_response,accept_conseq_response,predict_event_response,urgency_response,other_responsblt_response,self_control_response,chance_control_response,standards_response,goal_relevance_response,attention_response,unpleasantness_response
0,Despair. I wish I had nobody in my life so I feel no remorse for the last stage of my life,"I know what you mean. When I was suicidal the pain I would cause my family was sometimes the only thing that held me back. I tried to think of them as living proof that Depression (personified for metaphor) was wrong about me. It told me nobody cares, nothing matters, if you died nothing would change. I showed it my mother and sister, and told it even if you see no value in me, others do. Basically, in my mind, I used my family as a logical check against the lies. Depression knows it is irrational; like a con man, it relies on persuasion rather than facts. But even when it takes over all of your other emotions, it can't take control of the emotions of others.",0,0,2,0,1,Despair. I wish I had nobody in my life so I feel no remorse for the last stage of my life,3.351813793182373,2.1937493085861206,3.203364372253418,2.0621297359466553,3.0914418697357178,2.7783411741256714,3.367255926132202,2.9549615383148193,1.4459917545318604,3.5799241065979004,3.1304919719696045,3.302600860595703,3.319334030151367,2.6177172660827637,2.9433857202529907,2.2405927181243896,3.0727880001068115,3.1865968704223633,3.7180652618408203,3.8811185359954834,1,0,"I know what you mean. When I was suicidal the pain I would cause my family was sometimes the only thing that held me back. I tried to think of them as living proof that Depression (personified for metaphor) was wrong about me. It told me nobody cares, nothing matters, if you died nothing would change. I showed it my mother and sister, and told it even if you see no value in me, others do. Basically, in my mind, I used my family as a logical check against the lies. Depression knows it is irrational; like a con man, it relies on persuasion rather than facts. But even when it takes over all of your other emotions, it can't take control of the emotions of others.",2.5036531686782837,1.6352806687355042,3.3500733375549316,2.6341572999954224,3.4266397953033447,2.097977876663208,2.3196239471435547,3.261888265609741,1.5860475897789001,2.6881483793258667,2.8924672603607178,2.2227739095687866,3.740760564804077,3.6726338863372803,2.2181562185287476,2.0416951179504395,3.1322317123413086,3.5925750732421875,4.0865092277526855,4.900979042053223
1,"What are some things I can do to boost my confidence, motivation and happiness while in University?. Been feeling down in the gutter lately.","I did feel the same way as you, and some days I still do. Some things that I've done that seemed to work: Exercise, if Im exercising and going to the gym the consistency seems to flow to other parts of my life. Joining a club at uni, having friends keep me motivated in my studies. Also sort of having something to do outside of classes (I don't have a job). Make friends in your course, it helps to know you're not the only one in struggle town, and if you get stuck you can ask someone. Also think hard about why you're studying what you're studying, be in it for the right reasons. Keep in mind university isn't for everyone, and it isn't the only way to lead a fulfilling life. Also career changes are very common so since you're in your final year you can just stick it out and know that the future awaits. You're not locked into doing whatever your degree says you have to do. I think a lot of students are in the same boat, and good on you for making this post and trying to work out what you can do about it. Good luck!",1,0,2,2,1,"What are some things I can do to boost my confidence, motivation and happiness while in University?. Been feeling down in the gutter lately.",2.921935796737671,2.5986818075180054,2.7797290086746216,1.8369226455688477,2.989401936531067,2.030182957649231,3.4998908042907715,2.9848188161849976,2.3019204139709473,3.2472898960113525,3.166666030883789,2.9724903106689453,2.9000667333602905,2.8955048322677612,2.8865047693252563,1.9975797533988953,2.74746572971344,3.3570332527160645,3.5680675506591797,3.059079885482788,3,0,"I did feel the same way as you, and some days I still do. Some things that I've done that seemed to work: Exercise, if Im exercising and going to the gym the consistency seems to flow to other parts of my life. Joining a club at uni, having friends keep me motivated in my studies. Also sort of having something to do outside of classes (I don't have a job). Make friends in your course, it helps to know you're not the only one in struggle town, and if you get stuck you can ask someone. Also think hard about why you're studying what you're studying, be in it for the right reasons. Keep in mind university isn't for everyone, and it isn't the only way to lead a fulfilling life. Also career changes are very common so since you're in your final year you can just stick it out and know that the future awaits. You're not locked into doing whatever your degree says you have to do. I think a lot of students are in the same boat, and good on you for making this post and trying to work out what you can do about it. Good luck!",2.809954285621643,1.892341673374176,3.2385733127593994,2.531905770301819,3.0157806873321533,1.8372940421104431,2.4006394147872925,3.661168098449707,2.221637725830078,2.441967010498047,2.9355469942092896,2.1982158422470093,3.663851737976074,3.256828784942627,2.273965001106262,1.3528453707695007,2.9382065534591675,3.447103977203369,3.564016819000244,2.785998582839966
2,"You know it’s going to be a good day when you just stand in the shower with your head down for half an hour. I even know what it is anymore, I just wish I awake",That was me this morning. I felt way alone but better now,0,0,2,4,1,"You know it’s going to be a good day when you just stand in the shower with your head down for half an hour. I even know what it is anymore, I just wish I awake",3.4964215755462646,2.8590115308761597,3.4820339679718018,1.1795350760221481,2.965364456176758,2.3473178148269653,3.562232732772827,2.4935327768325806,2.258167028427124,2.7038135528564453,3.0764732360839844,2.742035150527954,3.223357677459717,1.9413094520568848,2.8690491914749146,2.086315155029297,2.1176329851150513,2.577221632003784,2.793240547180176,2.6511151790618896,5,0,That was me this morning. I felt way alone but better now,3.3509652614593506,2.8105674982070923,3.0477511882781982,0.9773132335394621,2.7555869817733765,2.623138666152954,3.555546283721924,2.432367444038391,2.952765941619873,3.330404758453369,3.2301220893859863,3.4478228092193604,3.241448402404785,2.299031615257263,3.4020965099334717,2.487181305885315,1.8627071380615234,3.3883249759674072,3.647067070007324,2.6961599588394165
3,What has helped your depression?. Is anyone cured or nearly recovered?,"Definitely not cured, but much better than my worst. I've found that forcing myself to do the things I used to love, even if it only holds my interest briefly, helps on bad days. I have also found music to be a great mood changer and excerise if I can force myself to do it.",0,0,2,6,1,What has helped your depression?. Is anyone cured or nearly recovered?,2.8657182455062866,1.5935733914375305,3.458332061767578,2.272075891494751,3.3487350940704346,2.4892994165420532,2.667474389076233,3.3644704818725586,1.9218380451202393,3.364671468734741,2.861408233642578,2.772529363632202,3.3305435180664062,3.5356240272521973,2.492578148841858,2.2112128734588623,3.1125192642211914,3.559530019760132,4.023636341094971,3.688542127609253,7,0,"Definitely not cured, but much better than my worst. I've found that forcing myself to do the things I used to love, even if it only holds my interest briefly, helps on bad days. I have also found music to be a great mood changer and excerise if I can force myself to do it.",3.398313522338867,2.647128105163574,2.675577759742737,1.802342712879181,2.439828395843506,1.8519702553749084,3.327080249786377,3.0318729877471924,2.969159722328186,2.99624502658844,3.207507848739624,2.9512256383895874,2.975424289703369,3.3639698028564453,2.807823061943054,1.8827208280563354,2.075082778930664,2.8296821117401123,3.5820608139038086,2.9924116134643555
4,"I am nobody's number one.. I don't mean for that to sound whiny or anything. It's not something I ever even thought about until now and I don't even know why I thought about it. I just went through a really tough break up and thought I was doing okay. Regular depression, which is something that I've dealt with for years so that general downness is my baseline. But this thought hit me like a freight train today and now I'm really, really struggling. I'm no one's 'person'. I'm no one's best friend. I have friends, I have best friends, I have people who consider me a best friend... but I'm not someone's person. And for some reason that really, really hurts.","I'm not even my fucking number one. I've tried and then depression steps in, raw physical pain.",0,0,2,8,1,"I am nobody's number one.. I don't mean for that to sound whiny or anything. It's not something I ever even thought about until now and I don't even know why I thought about it. I just went through a really tough break up and thought I was doing okay. Regular depression, which is something that I've dealt with for years so that general downness is my baseline. But this thought hit me like a freight train today and now I'm really, really struggling. I'm no one's 'person'. I'm no one's best friend. I have friends, I have best friends, I have people who consider me a best friend... but I'm not someone's person. And for some reason that really, really hurts.",2.8006054162979126,1.9221106171607971,3.189960479736328,2.3034225702285767,3.226149082183838,1.9735425114631653,3.10040545463562,2.9685877561569214,1.8421828150749207,2.94354510307312,3.1386287212371826,2.6219836473464966,3.558791160583496,2.7230582237243652,2.609702944755554,1.8658104538917542,3.1202149391174316,3.5157980918884277,3.9474480152130127,4.050010442733765,9,0,"I'm not even my fucking number one. I've tried and then depression steps in, raw physical pain.",2.9009807109832764,1.810435950756073,3.37096905708313,2.1869139671325684,3.4963788986206055,2.3472697734832764,2.9601305723190308,2.7832661867141724,1.1515074372291565,3.140481948852539,2.7943837642669678,3.091552734375,3.341902494430542,2.43790066242218,2.5714586973190308,2.1593239307403564,2.6960055828094482,2.909747838973999,3.6765060424804688,4.431221008300781
5,"My breakdowns are mostly at night/before I'm planning to sleep. At daytime there are at least some things that keep me distracted, but at night, it's only me and my shitty thoughts. I can't remember the last time I fell asleep with a confident/happy feeling.","Same here. Alone in my room at night is the only time I can openly display what I feel all the time and hide from everyone. It's sad but freeing at the same time, y'know? For me, catharsis at its finest.",0,0,2,10,1,"My breakdowns are mostly at night/before I'm planning to sleep. At daytime there are at least some things that keep me distracted, but at night, it's only me and my shitty thoughts. I can't remember the last time I fell asleep with a confident/happy feeling.",3.1805615425109863,2.1704713106155396,2.975916862487793,1.6503509879112244,3.124197483062744,2.221292495727539,2.9768331050872803,2.8757771253585815,1.702199637889862,2.926822304725647,3.230496883392334,3.047640323638916,2.89761483669281,2.685684084892273,2.869866728782654,2.089494228363037,2.4609771966934204,2.48451828956604,3.5962698459625244,3.8369719982147217,11,0,"Same here. Alone in my room at night is the only time I can openly display what I feel all the time and hide from everyone. It's sad but freeing at the same time, y'know? For me, catharsis at its finest.",3.116935968399048,1.8696791529655457,3.4421894550323486,1.8729467988014221,2.516544818878174,2.1803882122039795,2.217258095741272,3.4219841957092285,2.109097719192505,2.9254010915756226,3.221672773361206,2.8581676483154297,3.1980886459350586,3.928886890411377,2.3991812467575073,2.4263440370559692,2.3428980112075806,2.69678270816803,3.573474407196045,3.902735471725464
6,I wish i was dead.. Its nearly 12 midnight. Does anyone cares?,You are not alone. Just remember that.,1,0,0,12,1,I wish i was dead.. Its nearly 12 midnight. Does anyone cares?,2.8985356092453003,1.4757610857486725,3.698551654815674,2.59503173828125,3.36329984664917,2.4015533924102783,2.2604538202285767,3.5016865730285645,1.8701945543289185,3.095032215118408,3.021805763244629,2.570730447769165,3.165476083755493,3.927668571472168,2.2824325561523438,2.236876964569092,3.0569825172424316,2.9753565788269043,3.6121206283569336,3.7237164974212646,13,0,You are not alone. Just remember that.,3.2971410751342773,2.210997223854065,2.5482789278030396,2.1858794689178467,3.050893783569336,2.391715884208679,2.6967402696609497,3.4173355102539062,2.467297673225403,3.4428250789642334,3.1091434955596924,3.046630620956421,3.078495979309082,3.6801280975341797,2.940095543861389,2.095090627670288,3.125694990158081,3.1425411701202393,3.6179234981536865,3.541543483734131
7,"Has anybody here understood WHY they are depressed?. It is one question I can't answer. I am 24 now, and I have been depressed for about 10 years. I read a lot of explanations about depression. Some connect it to family, some to movement, some to capitalism. Has anybody found an answer for themselves?",I've been depressed since I turned 10. From what my therapist says it's not uncommon for the beginning of chronic depression to coincide with the begining of puberty. I think that's when it started for me.,0,0,2,14,1,"Has anybody here understood WHY they are depressed?. It is one question I can't answer. I am 24 now, and I have been depressed for about 10 years. I read a lot of explanations about depression. Some connect it to family, some to movement, some to capitalism. Has anybody found an answer for themselves?",2.818338990211487,2.0008076429367065,3.4488465785980225,2.4725407361984253,2.9380762577056885,2.2107359170913696,2.3145681619644165,3.5899558067321777,2.3148273229599,3.053346872329712,2.7171295881271362,2.316616415977478,2.9763370752334595,3.663895606994629,2.2760462760925293,1.7768651843070984,2.88860023021698,3.297577381134033,3.632664680480957,3.2409145832061768,15,0,I've been depressed since I turned 10. From what my therapist says it's not uncommon for the beginning of chronic depression to coincide with the begining of puberty. I think that's when it started for me.,2.940299391746521,2.0373455286026,2.8930011987686157,1.6778571009635925,3.2701168060302734,2.6250197887420654,2.479942202568054,3.1399362087249756,2.003261089324951,3.056018114089966,3.136132001876831,2.928330898284912,3.0551390647888184,3.0595273971557617,2.579339385032654,2.424641728401184,2.205933690071106,3.304844379425049,3.9786629676818848,3.7323403358459473
8,What's the most embarrassing thing depression has caused you to do ?. So I don't feel like the only laughing stock .....,"telling people i love them when i really don't. I just really need closeness and when someone finally gets closer to me, i immediately feel like i'm in love even though we would never in a million years fit together",0,0,2,16,1,What's the most embarrassing thing depression has caused you to do ?. So I don't feel like the only laughing stock .....,3.161236524581909,1.6493378281593323,2.7090007066726685,2.189121961593628,3.3433408737182617,2.134330987930298,2.7248603105545044,2.92612087726593,1.4717013537883759,2.969026803970337,2.84433376789093,2.5706087350845337,3.1430532932281494,2.4533947706222534,2.947437882423401,1.9642153978347778,3.1464271545410156,2.74091374874115,2.9332237243652344,3.405742883682251,17,0,"telling people i love them when i really don't. I just really need closeness and when someone finally gets closer to me, i immediately feel like i'm in love even though we would never in a million years fit together",2.7122673988342285,2.9607200622558594,3.472686290740967,2.021111011505127,2.834769368171692,2.2909703254699707,2.860592842102051,3.1874446868896484,2.5916450023651123,2.6410624980926514,3.1672985553741455,2.0901129245758057,3.0813446044921875,3.1069529056549072,2.4608253240585327,2.103494167327881,2.518895983695984,3.4019107818603516,3.4263153076171875,3.334965944290161
9,"Can't move. I don't want to expose myself to the outside world right now. They always ask me what I do. Right now, I'm not doing much. I feel extremely heavy. I can't move and I just want to die.","What seems to be weighing you down lately? If you need someone to talk to, I'm here. :)",1,2,0,18,1,"Can't move. I don't want to expose myself to the outside world right now. They always ask me what I do. Right now, I'm not doing much. I feel extremely heavy. I can't move and I just want to die.",3.237006664276123,2.071431040763855,2.9574722051620483,2.396434187889099,3.253509998321533,2.4594106674194336,3.046804189682007,2.875683903694153,1.3914600610733032,3.020862579345703,3.1803171634674072,3.1720950603485107,3.2582437992095947,2.9224854707717896,2.7659541368484497,2.220777750015259,3.05403470993042,3.0096828937530518,3.6803860664367676,4.470761775970459,19,0,"What seems to be weighing you down lately? If you need someone to talk to, I'm here. :)",3.2075586318969727,2.128087043762207,2.7003673315048218,2.011432647705078,2.537013530731201,2.1284676790237427,2.799655556678772,3.358700752258301,2.644592523574829,2.8629099130630493,3.1846706867218018,2.695411443710327,2.995834469795227,3.2773120403289795,2.874932885169983,2.081611156463623,2.467181086540222,2.9044876098632812,3.3636491298675537,3.0210485458374023
